,Symbol
356,POLICYBZR
357,PCBL
358,PGEL
359,PIIND
360,PNBHOUSING
361,PTCIL
362,PVRINOX
363,PAGEIND
364,PARADEEP
365,PATANJALI
366,PERSISTENT
367,PETRONET
368,PFIZER
369,PHOENIXLTD
370,PWL
371,PIDILITIND
372,PINELABS
373,PIRAMALFIN
374,PPLPHARMA
375,POLYMED
376,POLYCAB
377,POONAWALLA
378,PFC
379,POWERGRID
380,PREMIERENE
381,PRESTIGE
382,PFOCUS
383,PNB
384,RRKABEL
385,RBLBANK
386,RECLTD
387,RHIM
388,RITES
389,RADICO
390,RVNL
391,RAILTEL
392,RAINBOW
393,RKFORGE
394,REDINGTON
395,RELIANCE
396,RPOWER
397,SBFC
398,SBICARD
399,SBILIFE
400,SJVN
401,SRF
402,SAGILITY
403,SAILIFE
404,SAMMAANCAP
405,MOTHERSON
406,SAPPHIRE
407,SARDAEN
408,SAREGAMA
409,SCHAEFFLER
410,SCHNEIDER
411,SCI
412,SHREECEM
413,SHRIRAMFIN
414,SHYAMMETL
415,ENRIN
416,SIEMENS
417,SIGNATURE
418,SOBHA
419,SOLARINDS
420,SONACOMS
421,SONATSOFTW
422,STARHEALTH
423,SBIN
424,SAIL
425,SUMICHEM
426,SUNPHARMA
427,SUNTV
428,SUNDARMFIN
429,SUPREMEIND
430,SPLPETRO
431,SUZLON
432,SWANCORP
433,SWIGGY
434,SYNGENE
435,SYRMA
436,TBOTEK
437,TVSMOTOR
438,TATACAP
439,TATACHEM
440,TATACOMM
441,TCS
442,TATACONSUM
443,TATAELXSI
444,TATAINVEST
445,TMCV
446,TMPV
447,TATAPOWER
448,TATASTEEL
449,TATATECH
450,TTML
451,TECHM
452,TECHNOE
453,TEGA
454,TEJASNET
455,TENNIND
456,NIACL
457,RAMCOCEM
458,THERMAX
459,TIMKEN
460,TITAGARH
461,TITAN
462,TORNTPHARM
463,TORNTPOWER
464,TARIL
465,TRAVELFOOD
466,TRENT
467,TRIDENT
468,TRITURBINE
469,TIINDIA
470,UCOBANK
471,UNOMINDA
472,UPL
473,UTIAMC
474,ULTRACEMCO
475,UNIONBANK
476,UBL
477,UNITDSPR
478,URBANCO
479,USHAMART
480,VTL
481,VBL
482,VEDL
483,VIJAYA
484,VMM
485,IDEA
486,VOLTAS
487,WAAREEENER
488,WELCORP
489,WELSPUNLIV
490,WHIRLPOOL
491,WIPRO
492,WOCKPHARMA
493,YESBANK
494,ZFCVINDIA
495,ZEEL
496,ZENTEC
497,ZENSARTECH
498,ZYDUSLIFE
499,ZYDUSWELL
500,ECLERX
